Name,Tenure_Type,Median_Price_Psf,Median_Price,Filed_Transactions
"METIA RESIDENCESHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,433,"480,000",1 Transaction
"MUTIARA SUBANGSHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,10,"7,000",1 Transaction
"P/PURI ANGGERIK INDAH - SEKSYEN 16 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,283,"210,000",1 Transaction
"PANGSAPURI MAMPU MILIK (PANGSAPURI SERAI WANGI)SHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,342,"250,000",1 Transaction
"PANGSAPURI PERSANDASHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,420,"330,000",1 Transaction
"PANGSAPURI SERI ERA, DESA LATANIASHAH ALAM, SELANGOR",FREEHOLDFLAT,218,"150,000",1 Transaction
"PANGSAPURI SERI SURIASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,271,"260,000",1 Transaction
"PINANG HEIGHTS - SEKSYEN 18, SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDCONDOMINIUM,397,"500,000",1 Transaction
"PINGGIRAN USJSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"4,595","510,000",1 Transaction
"PKNS FLAT SEKSYEN 6SHAH ALAM, SELANGOR",LEASEHOLDFLAT,338,"200,000",1 Transaction
"PLAZA KELANA JAYASHAH ALAM, SELANGOR",LEASEHOLDSERVICE RESIDENCE,516,"400,000",1 Transaction
"PRIMA INDAH (THE ARMANNA)SHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,528,"540,000",1 Transaction
"RESIDENSI HIJAUAN (THE GREEN)SHAH ALAM, SELANGOR",FREEHOLDCONDOMINIUM,601,"550,000",1 Transaction
"SEKSYEN 12 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDBUNGALOW,"1,801","1,500,000",1 Transaction
"SEKSYEN 18 SHAH ALAMSHAH ALAM, SELANGOR",LEASEHOLDFLAT,310,"230,000",1 Transaction
"SEKSYEN 24 SHAH ALAM -JALAN 24/1-24/2(K.SED)SHAH ALAM, SELANGOR",LEASEHOLDFLAT,381,"230,000",1 Transaction
"SEKSYEN 28 S.ALAM(ALAM MEGAH)-JALAN 28/24SHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,267,"440,000",1 Transaction
"SEKSYEN 32, SHAH ALAM (P/L 2921)SHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"5,462","650,000",1 Transaction
"SEKSYEN 36, SHAH ALAMSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,250,"350,000",1 Transaction
"SERI PALMASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,318,"250,000",1 Transaction
"SRI LEMBAYUNGSHAH ALAM, SELANGOR",FREEHOLDFLAT,274,"180,000",1 Transaction
"SRI NERVILLIASHAH ALAM, SELANGOR",FREEHOLDAPARTMENT,259,"170,000",1 Transaction
"SUBANG 2SHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,"5,385","700,000",1 Transaction
"SUBANG SURIASHAH ALAM, SELANGOR",LEASEHOLDAPARTMENT,129,"109,355",1 Transaction
"SURIA JAYA E-SOFOSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,714,"300,000",1 Transaction
"SURIA RESIDENCES @ BUKIT JELUTONGSHAH ALAM, SELANGOR",FREEHOLDSERVICE RESIDENCE,554,"555,000",1 Transaction
"TAMAN BAYU KEMUNINGSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,300,"461,800",1 Transaction
"TAMAN BUKIT NAGASHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,405,"488,000",1 Transaction
"TAMAN BUKIT NAGA, SEKSYEN 32 SHAH ALAMSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,"3,945","430,000",1 Transaction
"TAMAN DESA KEMUNINGSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,357,"600,000",1 Transaction
"TAMAN DESA SUBANGSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,429,"600,000",1 Transaction
"TAMAN MUTIARA BUKIT KEMUNINGSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,322,"450,000",1 Transaction
"TAMAN MUTIARA, BUKIT KEMUNINGSHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,286,"400,000",1 Transaction
"TAMAN SETIA WARISANSHAH ALAM, SELANGOR",LEASEHOLDTERRACE HOUSE,273,"300,000",1 Transaction
"TAMAN SRI AMAN (P/L 2809)SHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,371,"435,000",1 Transaction
"TAMAN SRI KEMUNING (P/L 1323)SHAH ALAM, SELANGOR",FREEHOLDTERRACE HOUSE,282,"520,000",1 Transaction
"TAMAN SRI LEMBAYUNGSHAH ALAM, SELANGOR",FREEHOLDFLAT,211,"137,000",1 Transaction
"TAMAN SRI MUDA, SEKSYEN 25, SHAH ALAMSHAH ALAM, SELANGOR",FREEHOLDFLAT,159,"90,000",1 Transaction
"TAMAN WARISAN KOTA (P/L 3200)SHAH ALAM, SELANGOR",FREEHOLDSEMI-D,"2,020","600,000",1 Transaction
